"AAS Player.dll", 136;
Dexed.dll, 32;
TAL-NoiseMaker.dll, 256;
TAL-NoiseMaker.dll.216, 0 0.041393 193.;
TAL-NoiseMaker.dll.232, 0 0.052128 603.;
TAL-NoiseMaker.dll.25, 0 0.071973 988.;
Dexed.dll.5, 0 0.123241 321.;
TAL-NoiseMaker.dll.66, 0 0.075888 761.;
TAL-NoiseMaker.dll.12, 0 0.260599 574.;
TAL-NoiseMaker.dll.6, 0 0.076478 485.;
TAL-NoiseMaker.dll.213, 0 0.096705 374.;
"AAS Player.dll.92", 0 0.046856 471.;
"AAS Player.dll.21", 0 0.063202 592.;
TAL-NoiseMaker.dll.253, 0 0.040374 727.;
TAL-NoiseMaker.dll.23, 0 0.108566 947.;
TAL-NoiseMaker.dll.235, 0 0.04031 893.;
"AAS Player.dll.105", 0 0.069742 1533.;
"AAS Player.dll.94", 0 0.088059 707.;
"AAS Player.dll.1", 0 0.080149 100.;
TAL-NoiseMaker.dll.197, 0 0.043283 1300.;
TAL-NoiseMaker.dll.234, 0 0.104291 340.;
Dexed.dll.7, 0 0.149249 211.;
TAL-NoiseMaker.dll.32, 0 0.079583 265.;
TAL-NoiseMaker.dll.225, 0 0.083323 63.;
Dexed.dll.1, 0 0.299494 2065.;
Dexed.dll.9, 0 0.052488 694.;
TAL-NoiseMaker.dll.87, 0 0.184961 486.;
TAL-NoiseMaker.dll.98, 0 0.172798 201.;
TAL-NoiseMaker.dll.71, 0 0.36425 53.;
TAL-NoiseMaker.dll.31, 0 0.061942 1480.;
TAL-NoiseMaker.dll.114, 0 0.06401 1189.;
TAL-NoiseMaker.dll.218, 0 0.069149 572.;
"AAS Player.dll.88", 0 0.062211 1101.;
TAL-NoiseMaker.dll.3, 0 0.080652 570.;
"AAS Player.dll.65", 0 0.090004 1108.;
TAL-NoiseMaker.dll.1, 0 0.092721 251.;
TAL-NoiseMaker.dll.149, 0 0.106875 784.;
"AAS Player.dll.96", 0 0.047734 1165.;
TAL-NoiseMaker.dll.95, 0 0.134501 581.;
TAL-NoiseMaker.dll.210, 0 0.056871 1368.;
"AAS Player.dll.75", 0 0.816031 2040.;
TAL-NoiseMaker.dll.194, 0 0.084893 1088.;
"AAS Player.dll.11", 0 0.080736 308.;
TAL-NoiseMaker.dll.60, 0 0.130769 113.;
TAL-NoiseMaker.dll.173, 0 0.433039 1102.;
"AAS Player.dll.97", 0 0.06214 646.;
Dexed.dll.21, 0 0.037022 680.;
Dexed.dll.31, 0 0.090466 1023.;
"AAS Player.dll.115", 0 0.046814 67.;
"AAS Player.dll.46", 0 0.036229 152.;
TAL-NoiseMaker.dll.139, 0 0.086807 278.;
"AAS Player.dll.78", 0 0.042529 423.;
TAL-NoiseMaker.dll.44, 0 0.056736 159.;
"AAS Player.dll.108", 0 0.018851 211.;
"AAS Player.dll.72", 0 0.032606 168.;
TAL-NoiseMaker.dll.215, 0 0.073032 698.;
TAL-NoiseMaker.dll.178, 0 0.110098 248.;
TAL-NoiseMaker.dll.135, 0 0.026352 563.;
Dexed.dll.15, 0 0.043057 319.;
TAL-NoiseMaker.dll.127, 0 0.039519 427.;
Dexed.dll.19, 0 0.094507 597.;
Dexed.dll.4, 0 0.193284 1780.;
Dexed.dll.28, 0 0.04863 765.;
TAL-NoiseMaker.dll.45, 0 0.111679 808.;
TAL-NoiseMaker.dll.103, 0 0.148479 329.;
"AAS Player.dll.25", 0 0.037782 643.;
TAL-NoiseMaker.dll.8, 0 0.203328 77.;
"AAS Player.dll.79", 0 0.047957 868.;
"AAS Player.dll.14", 0 0.079485 444.;
"AAS Player.dll.126", 0 0.12489 171.;
Dexed.dll.24, 0 0.128503 528.;
TAL-NoiseMaker.dll.248, 0 0.031677 208.;
"AAS Player.dll.32", 0 0.065382 452.;
"AAS Player.dll.45", 0 0.05921 723.;
Dexed.dll.10, 0 0.378057 2179.;
TAL-NoiseMaker.dll.56, 0 0.040407 135.;
"AAS Player.dll.10", 0 0.055761 265.;
TAL-NoiseMaker.dll.85, 0 0.07246 303.;
Dexed.dll.29, 0 0.177895 690.;
"AAS Player.dll.111", 0 0.282959 366.;
Dexed.dll.6, 0 0.054936 575.;
TAL-NoiseMaker.dll.208, 0 0.081697 827.;
"AAS Player.dll.80", 0 0.050261 673.;
TAL-NoiseMaker.dll.84, 0 0.242313 27.;
"AAS Player.dll.69", 0 0.041506 238.;
"AAS Player.dll.119", 0 0.403101 737.;
TAL-NoiseMaker.dll.243, 0 0.039575 294.;
TAL-NoiseMaker.dll.80, 0 0.048808 492.;
TAL-NoiseMaker.dll.78, 0 0.15037 517.;
"AAS Player.dll.39", 0 0.105904 748.;
TAL-NoiseMaker.dll.122, 0 0.130467 603.;
TAL-NoiseMaker.dll.13, 0 0.098913 205.;
Dexed.dll.26, 0 0.169736 917.;
"AAS Player.dll.47", 0 0.175613 349.;
"AAS Player.dll.133", 0 0.220101 199.;
TAL-NoiseMaker.dll.29, 0 0.059942 529.;
TAL-NoiseMaker.dll.159, 0 0.051551 108.;
TAL-NoiseMaker.dll.51, 0 0.103681 430.;
TAL-NoiseMaker.dll.115, 0 0.069313 254.;
"AAS Player.dll.70", 0 0.134282 112.;
"AAS Player.dll.127", 0 0.081221 844.;
TAL-NoiseMaker.dll.35, 0 0.136879 241.;
TAL-NoiseMaker.dll.105, 0 0.065668 166.;
TAL-NoiseMaker.dll.126, 0 0.065695 206.;
Dexed.dll.2, 0 0.260864 464.;
TAL-NoiseMaker.dll.24, 0 0.260577 61.;
Dexed.dll.14, 0 0.048832 302.;
Dexed.dll.12, 0 0.218818 400.;
TAL-NoiseMaker.dll.169, 0 0.143369 523.;
Dexed.dll.8, 0 0.160573 835.;
TAL-NoiseMaker.dll.222, 0 0.08396 298.;
TAL-NoiseMaker.dll.112, 0 0.192546 532.;
Dexed.dll.25, 0 0.670465 845.;
Dexed.dll.23, 0 0.108796 24.;
TAL-NoiseMaker.dll.26, 0 0.090897 564.;
TAL-NoiseMaker.dll.246, 0 0.093525 594.;
TAL-NoiseMaker.dll.170, 0 0.074931 11.;
TAL-NoiseMaker.dll.137, 0 0.112702 165.;
TAL-NoiseMaker.dll.99, 0 0.095293 104.;
Dexed.dll.22, 0 0.154836 743.;
TAL-NoiseMaker.dll.39, 0 0.0625 2.;
Dexed.dll.3, 0 0.223866 694.;
TAL-NoiseMaker.dll.146, 0 0.15329 69.;
TAL-NoiseMaker.dll.211, 0 0.142758 2228.;
Dexed.dll.20, 0 0.23052 677.;
TAL-NoiseMaker.dll.77, 0 0.178514 232.;
Dexed.dll.0, 0 0.0625 2.;
TAL-NoiseMaker.dll.236, 0 0.101434 601.;
Dexed.dll.13, 0 0.162162 333.;
TAL-NoiseMaker.dll.10, 0 0.150822 62.;
TAL-NoiseMaker.dll.163, 0 0.075698 379.;
TAL-NoiseMaker.dll.65, 0 0.129551 395.;
TAL-NoiseMaker.dll.230, 0 0.140054 739.;
Dexed.dll.18, 0 0.110477 620.;
TAL-NoiseMaker.dll.43, 0 0.067529 23.;
TAL-NoiseMaker.dll.54, 0 0.155623 357.;
TAL-NoiseMaker.dll.16, 0 0.031746 3.;
TAL-NoiseMaker.dll.212, 0 0.141918 28.;
TAL-NoiseMaker.dll.62, 0 0.041833 4.;
TAL-NoiseMaker.dll.175, 0 0.389559 263.;
TAL-NoiseMaker.dll.220, 0 0.139223 297.;
TAL-NoiseMaker.dll.214, 0 0.121163 256.;
TAL-NoiseMaker.dll.242, 0 0.078596 149.;
Dexed.dll.16, 0 0.077896 134.;
Dexed.dll.11, 0 0.174102 370.;
"AAS Player.dll.51", 0 0.078113 75.;
"AAS Player.dll.125", 0 0.080819 32.;
"AAS Player.dll.50", 0 0.038447 44.;
TAL-NoiseMaker.dll.240, 0 0.137341 171.;
TAL-NoiseMaker.dll.76, 0 0.057566 21.;
"AAS Player.dll.15", 0 0.201058 9.;
TAL-NoiseMaker.dll.196, 0 0.15568 95.;
TAL-NoiseMaker.dll.4, 0 0.070035 102.;
Dexed.dll.17, 0 0.11044 154.;
TAL-NoiseMaker.dll.117, 0 0.077871 73.;
"AAS Player.dll.123", 0 0.087302 12.;
TAL-NoiseMaker.dll.176, 0 0.092696 205.;
TAL-NoiseMaker.dll.165, 0 0.095381 521.;
"AAS Player.dll.132", 0 0.147837 279.;
